episode,score,steps,alpha,epsilon
0,-101,101,0.1,0
1,-101,101,1.0,0
2,-101,101,0.757858283255199,0
3,-33,44,0.6443940149772542,0
4,-101,101,0.5743491774985174,0
5,-54,65,0.5253055608807534,0
6,-101,101,0.4883593419305869,0
7,-43,54,0.45915654995943406,0
8,-67,78,0.43527528164806206,0
9,-57,68,0.41524364653850576,0
10,-29,40,0.3981071705534972,0
11,-51,62,0.38321537573562725,0
12,-76,87,0.3701071724871533,0
13,-21,32,0.3584451092335435,0
14,-35,46,0.3479755946976367,0
15,-3,14,0.33850375946582717,0
16,-42,53,0.32987697769322355,0
17,-3,14,0.321973724524617,0
18,-7,18,0.3146958370983006,0
19,-44,55,0.3079630127583798,0
20,-16,27,0.30170881682725814,0
21,-34,45,0.29587773273146395,0
22,-1,12,0.29042294677199854,0
23,-48,59,0.28530466023981976,0
24,-1,12,0.28048878636154984,0
25,-32,43,0.27594593229224296,0
26,-7,18,0.2716505951249556,0
27,-31,42,0.26758052058674353,0
28,-23,34,0.2637161868122579,0
29,-37,48,0.2600403852888841,0
30,-1,12,0.2565378780242026,0
31,-1,12,0.25319511503877523,0
32,-15,26,0.24999999999999997,0
33,1,10,0.24694169457129792,0
34,1,10,0.2440104541215086,0
35,-7,18,0.2411974890085122,0
36,-7,18,0.2384948468508759,0
37,-11,22,0.23589531212638196,0
38,-17,28,0.23339232015516467,0
39,-3,14,0.23097988308796358,0
40,-8,19,0.22865252596366314,0
41,-5,16,0.22640523125235815,0
42,1,10,0.22423339058130787,0
43,-1,12,0.22213276256695122,0
44,-73,84,0.22009943585854286,0
45,1,10,0.2181297966470791,0
46,1,10,0.21622050001405765,0
47,-7,18,0.2143684445937457,0
48,1,10,0.21257075010429846,0
49,3,8,0.21082473737065027,0
50,-3,14,0.20912791051825463,0
51,1,10,0.20747794106359835,0
52,1,10,0.20587265366665197,0
53,-3,14,0.2043100133433982,0
54,1,10,0.2027881139644019,0
55,-5,16,0.20130516788893235,0
56,1,10,0.19985949660414515,0
57,1,10,0.19844952225586374,0
58,-1,12,0.19707375997205423,0
59,-1,12,0.19573081089255695,0
60,1,10,0.19441935582935382,0
61,1,10,0.1931381494908833,0
62,3,8,0.19188601521188883,0
63,1,10,0.190661840137195,0
64,1,10,0.18946457081379975,0
65,1,10,0.1882932091508895,0
66,1,10,0.18714680871193354,0
67,1,10,0.186024471306991,0
68,-1,12,0.184925343856848,0
69,1,10,0.18384861550365886,0
70,1,10,0.1827935149454558,0
71,-1,12,0.18175930797425954,0
72,-7,18,0.1807452951996164,0
73,1,10,0.17975080994123677,0
74,-5,16,0.17877521627604914,0
75,-31,42,0.17781790722643998,0
76,-1,12,0.17687830307774088,0
77,-1,12,0.17595584981417883,0
78,1,10,0.17505001766353065,0
79,1,10,0.17416029974164132,0
80,1,10,0.1732862107887866,0
81,-1,12,0.1724272859905955,0
82,1,10,0.17158307987690846,0
83,-1,12,0.17075316529253926,0
84,1,10,0.1699371324344425,0
85,1,10,0.16913458795026912,0
86,1,10,0.1683451540937244,0
87,1,10,0.16756846793253616,0
88,-1,12,0.1668041806051931,0
89,1,10,0.16605195662293423,0
90,-7,18,0.16531147321376102,0
91,1,10,0.16458241970550633,0
92,1,10,0.16386449694523447,0
93,-1,12,0.16315741675246415,0
94,1,10,0.16246090140390337,0
95,1,10,0.16177468314756732,0
96,1,10,0.16109850374431356,0
97,-1,12,0.1604321140349801,0
98,-1,12,0.1597752735314492,0
99,1,10,0.15912775003008547,0
100,1,10,0.15848931924611134,0
101,1,10,0.1578597644675901,0
102,1,10,0.15723887622778202,0
103,1,10,0.15662645199472847,0
104,1,10,0.156022295877001,0
105,1,10,0.15542621834462733,0
106,1,10,0.15483803596427456,0
107,1,10,0.15425757114783564,0
108,1,10,0.15368465191362127,0
109,1,10,0.15311911165941602,0
110,3,8,0.15256078894670588,0
111,-1,12,0.15200952729543182,0
112,-27,38,0.1514651749886657,0
113,1,10,0.15092758488664562,0
114,1,10,0.1503966142496433,0
